# generated by scripts/build_qto_index.py — do not edit
# <ifc_class>\t<Qto_SetName>\t<comma-separated quantities>
ifcpilebored	Qto_PileBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetVolume,OuterSurfaceArea
ifcpilecohesion	Qto_PileBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetVolume,OuterSurfaceArea
ifcpiledriven	Qto_PileBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetVolume,OuterSurfaceArea
ifcpilefriction	Qto_PileBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetVolume,OuterSurfaceArea
ifcpilejetgrouting	Qto_PileBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetVolume,OuterSurfaceArea
ifcpilesupport	Qto_PileBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetVolume,OuterSurfaceArea
ifcpipefitting	Qto_PipeFittingBaseQuantities	GrossCrossSectionArea,Length,NetCrossSectionArea,OuterSurfaceArea
ifcpipefittingbend	Qto_PipeFittingBaseQuantities	GrossCrossSectionArea,Length,NetCrossSectionArea,OuterSurfaceArea
ifcpipefittingconnector	Qto_PipeFittingBaseQuantities	GrossCrossSectionArea,Length,NetCrossSectionArea,OuterSurfaceArea
ifcpipefittingentry	Qto_PipeFittingBaseQuantities	GrossCrossSectionArea,Length,NetCrossSectionArea,OuterSurfaceArea
